"","X1","X2","X3","X4"
"1","Banda Aceh","Cerah Berawan","24 - 35","45 - 90"
"2","Kota","Prakiraan Cuaca","Suhu( °C )","Kelembapan( % )"
"3","Kota","Dini Hari","Suhu( °C )","Kelembapan( % )"
"4","Denpasar","Berawan","23 - 30","60 - 85"
"5","Serang","Berawan","23 - 34","55 - 95"
"6","Bengkulu","Cerah Berawan","23 - 34","65 - 90"
"7","Yogyakarta","Berawan","21 - 32","55 - 90"
"8","Jakarta Pusat","Cerah Berawan","24 - 32","60 - 80"
"9","Gorontalo","Hujan Ringan","24 - 33","60 - 95"
"10","Jambi","Berawan","24 - 33","60 - 100"
"11","Bandung","Cerah Berawan","20 - 29","65 - 95"
"12","Semarang","Cerah Berawan","24 - 34","55 - 85"
"13","Surabaya","Cerah","24 - 33","55 - 90"
"14","Pontianak","Berawan","24 - 31","65 - 95"
"15","Banjarmasin","Berawan","24 - 32","65 - 95"
"16","Palangkaraya","Berawan","24 - 30","65 - 95"
"17","Samarinda","Hujan Ringan","24 - 27","85 - 100"
"18","Tarakan","Hujan Ringan","24 - 29","80 - 90"
"19","Pangkal Pinang","Berawan","25 - 33","65 - 95"
"20","Tanjung Pinang","Berawan","25 - 32","65 - 95"
"21","Bandar Lampung","Cerah Berawan","22 - 33","55 - 90"
"22","Ambon","Hujan Ringan","24 - 29","75 - 95"
"23","Ternate","Hujan Ringan","24 - 30","70 - 95"
"24","Mataram","Cerah Berawan","21 - 31","50 - 95"
"25","Kupang","Cerah Berawan","21 - 32","50 - 90"
"26","Kota Jayapura","Cerah Berawan","23 - 31","65 - 95"
"27","Manokwari","Berawan","24 - 31","65 - 95"
"28","Pekanbaru","Berawan","24 - 33","60 - 100"
"29","Mamuju","Hujan Sedang","24 - 30","70 - 95"
"30","Makassar","Berawan","25 - 34","65 - 90"
"31","Kendari","Berawan","24 - 30","75 - 95"
"32","Manado","Berawan","22 - 32","65 - 95"
"33","Padang","Cerah Berawan","24 - 31","75 - 90"
"34","Palembang","Kabut","24 - 33","60 - 95"
"35","Medan","Berawan","24 - 33","70 - 95"
