"","Company","Rating","Reviews","Jobs"
"1"," JobsBank Danamon","4.2","1047 Reviews","13 Jobs"
"2","JT International","4.6","45 Reviews","13 Jobs"
"3","Schneider Electric","4.5","147 Reviews","14 Jobs"
"4","Coway","3.9","9 Reviews","6 Jobs"
"5","Jiva Agriculture","4","3 Reviews","45 Jobs"
"6","co","4","2 Reviews","19 Jobs"
"7","Nusantara Sakti Group","4.2","429 Reviews","13 Jobs"
"8","Deloitte","4.2","30 Reviews","25 Jobs"
"9","BFI Finance Indonesia","4.3","355 Reviews","151 Jobs"
"10","Abbott","4.3","40 Reviews","4 Jobs"
"11","Panin Dai-Ichi Life","4.1","58 Reviews","9 Jobs"
"12","Sinar Mas Land","4.2","78 Reviews","8 Jobs"
"13","Bayan Resources","4.4","18 Reviews","9 Jobs"
"14","PwC","4.5","71 Reviews","60 Jobs"
